freq,unit,agriprod,geo,TIME_PERIOD,OBS_VALUE
Annual,Euro per hectare,Arable land,Vlaams Gewest,2013,40202.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2014,44902.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2013,52850.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2014,58569.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2013,32008.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2014,31578.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2013,42327.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2014,43483.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2013,29401.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2014,36391.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2013,43862.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2014,49741.0
Annual,Euro per hectare,Arable land,Région wallonne,2013,25968.0
Annual,Euro per hectare,Arable land,Région wallonne,2014,25346.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2013,28811.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2014,28367.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2013,24729.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2014,24595.0
Annual,Euro per hectare,Arable land,Prov. Liège,2013,30121.0
Annual,Euro per hectare,Arable land,Prov. Liège,2014,27014.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2013,22539.0
Annual,Euro per hectare,Arable land,Prov. Luxembourg (BE),2014,17461.0
Annual,Euro per hectare,Arable land,Prov. Namur,2013,25259.0
Annual,Euro per hectare,Arable land,Prov. Namur,2014,27890.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2011,2214.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2012,3058.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2013,3421.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2014,3860.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2015,4193.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2016,4566.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2017,5047.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2018,5333.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2019,5688.0
Annual,Euro per hectare,Arable land,Severna i Yugoiztochna Bulgaria,2020,5770.0
