freq,unit,agriprod,geo,TIME_PERIOD,OBS_VALUE
Annual,Euro per hectare,Arable land,Ostösterreich,2011,266.0
Annual,Euro per hectare,Arable land,Ostösterreich,2012,267.0
Annual,Euro per hectare,Arable land,Ostösterreich,2013,266.0
Annual,Euro per hectare,Arable land,Ostösterreich,2014,267.0
Annual,Euro per hectare,Arable land,Ostösterreich,2015,270.0
Annual,Euro per hectare,Arable land,Ostösterreich,2016,275.0
Annual,Euro per hectare,Arable land,Ostösterreich,2017,276.0
Annual,Euro per hectare,Arable land,Ostösterreich,2018,280.0
Annual,Euro per hectare,Arable land,Ostösterreich,2019,286.0
Annual,Euro per hectare,Arable land,Ostösterreich,2020,293.0
Annual,Euro per hectare,Arable land,Burgenland,2015,233.0
Annual,Euro per hectare,Arable land,Burgenland,2017,241.0
Annual,Euro per hectare,Arable land,Burgenland,2018,238.0
Annual,Euro per hectare,Arable land,Burgenland,2019,244.0
Annual,Euro per hectare,Arable land,Burgenland,2020,263.0
Annual,Euro per hectare,Arable land,Niederösterreich,2015,283.0
Annual,Euro per hectare,Arable land,Niederösterreich,2017,291.0
Annual,Euro per hectare,Arable land,Niederösterreich,2018,297.0
Annual,Euro per hectare,Arable land,Niederösterreich,2019,303.0
Annual,Euro per hectare,Arable land,Niederösterreich,2020,302.0
Annual,Euro per hectare,Arable land,Südösterreich,2011,461.0
Annual,Euro per hectare,Arable land,Südösterreich,2012,474.0
Annual,Euro per hectare,Arable land,Südösterreich,2013,484.0
Annual,Euro per hectare,Arable land,Südösterreich,2014,499.0
Annual,Euro per hectare,Arable land,Südösterreich,2015,508.0
Annual,Euro per hectare,Arable land,Südösterreich,2016,515.0
Annual,Euro per hectare,Arable land,Südösterreich,2017,515.0
Annual,Euro per hectare,Arable land,Südösterreich,2018,514.0
Annual,Euro per hectare,Arable land,Südösterreich,2019,512.0
Annual,Euro per hectare,Arable land,Südösterreich,2020,511.0
Annual,Euro per hectare,Arable land,Kärnten,2015,470.0
Annual,Euro per hectare,Arable land,Kärnten,2017,475.0
Annual,Euro per hectare,Arable land,Kärnten,2018,480.0
Annual,Euro per hectare,Arable land,Kärnten,2019,483.0
Annual,Euro per hectare,Arable land,Kärnten,2020,491.0
Annual,Euro per hectare,Arable land,Steiermark,2015,526.0
Annual,Euro per hectare,Arable land,Steiermark,2017,533.0
Annual,Euro per hectare,Arable land,Steiermark,2018,530.0
Annual,Euro per hectare,Arable land,Steiermark,2019,525.0
Annual,Euro per hectare,Arable land,Steiermark,2020,521.0
Annual,Euro per hectare,Arable land,Westösterreich,2011,317.0
Annual,Euro per hectare,Arable land,Westösterreich,2012,323.0
Annual,Euro per hectare,Arable land,Westösterreich,2013,348.0
Annual,Euro per hectare,Arable land,Westösterreich,2014,354.0
Annual,Euro per hectare,Arable land,Westösterreich,2015,371.0
Annual,Euro per hectare,Arable land,Westösterreich,2016,377.0
Annual,Euro per hectare,Arable land,Westösterreich,2017,391.0
Annual,Euro per hectare,Arable land,Westösterreich,2018,393.0
Annual,Euro per hectare,Arable land,Westösterreich,2019,392.0
Annual,Euro per hectare,Arable land,Westösterreich,2020,394.0
Annual,Euro per hectare,Arable land,Oberösterreich,2015,365.0
Annual,Euro per hectare,Arable land,Oberösterreich,2017,384.0
Annual,Euro per hectare,Arable land,Oberösterreich,2018,387.0
Annual,Euro per hectare,Arable land,Oberösterreich,2019,385.0
Annual,Euro per hectare,Arable land,Oberösterreich,2020,391.0
Annual,Euro per hectare,Arable land,Salzburg,2015,502.0
Annual,Euro per hectare,Arable land,Salzburg,2017,492.0
Annual,Euro per hectare,Arable land,Salzburg,2018,499.0
Annual,Euro per hectare,Arable land,Salzburg,2019,511.0
Annual,Euro per hectare,Arable land,Salzburg,2020,504.0
Annual,Euro per hectare,Arable land,Tirol,2015,525.0
Annual,Euro per hectare,Arable land,Vorarlberg,2015,203.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2013,302.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2014,360.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2015,364.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2016,375.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2017,382.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2018,381.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2019,380.0
Annual,Euro per hectare,Arable land,Vlaams Gewest,2020,391.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2013,306.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2014,346.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2015,386.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2016,395.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2017,399.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2018,366.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2019,385.0
Annual,Euro per hectare,Arable land,Prov. Antwerpen,2020,381.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2013,267.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2014,309.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2015,302.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2016,320.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2017,308.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2018,327.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2019,324.0
Annual,Euro per hectare,Arable land,Prov. Limburg (BE),2020,343.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2013,302.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2014,330.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2015,358.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2016,376.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2017,372.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2018,372.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2019,367.0
Annual,Euro per hectare,Arable land,Prov. Oost-Vlaanderen,2020,376.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2013,217.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2014,273.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2015,273.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2016,290.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2017,296.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2018,295.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2019,288.0
Annual,Euro per hectare,Arable land,Prov. Vlaams-Brabant,2020,297.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2013,353.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2014,448.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2015,427.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2016,428.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2017,451.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2018,455.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2019,454.0
Annual,Euro per hectare,Arable land,Prov. West-Vlaanderen,2020,471.0
Annual,Euro per hectare,Arable land,Région wallonne,2013,216.0
Annual,Euro per hectare,Arable land,Région wallonne,2014,233.0
Annual,Euro per hectare,Arable land,Région wallonne,2015,245.0
Annual,Euro per hectare,Arable land,Région wallonne,2016,240.0
Annual,Euro per hectare,Arable land,Région wallonne,2017,249.0
Annual,Euro per hectare,Arable land,Région wallonne,2018,244.0
Annual,Euro per hectare,Arable land,Région wallonne,2019,241.0
Annual,Euro per hectare,Arable land,Région wallonne,2020,244.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2013,266.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2014,259.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2015,278.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2016,279.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2017,279.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2018,265.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2019,266.0
Annual,Euro per hectare,Arable land,Prov. Brabant wallon,2020,269.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2013,240.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2014,278.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2015,282.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2016,283.0
Annual,Euro per hectare,Arable land,Prov. Hainaut,2017,282.0
