freq,unit,pesticid,geo,TIME_PERIOD,OBS_VALUE
Annual,Kilogram,Fungicides and bactericides,Austria,2011,1544218
Annual,Kilogram,Fungicides and bactericides,Austria,2012,1634371
Annual,Kilogram,Fungicides and bactericides,Austria,2013,1492799
Annual,Kilogram,Fungicides and bactericides,Austria,2014,1641055
Annual,Kilogram,Fungicides and bactericides,Austria,2015,2130973
Annual,Kilogram,Fungicides and bactericides,Austria,2016,2006542
Annual,Kilogram,Fungicides and bactericides,Austria,2017,1991638
Annual,Kilogram,Fungicides and bactericides,Austria,2018,2268659
Annual,Kilogram,Fungicides and bactericides,Austria,2019,2068059
Annual,Kilogram,Fungicides and bactericides,Austria,2020,1931277
Annual,Kilogram,Fungicides and bactericides,Belgium,2011,2407996
Annual,Kilogram,Fungicides and bactericides,Belgium,2012,2539393
Annual,Kilogram,Fungicides and bactericides,Belgium,2013,2453223
Annual,Kilogram,Fungicides and bactericides,Belgium,2014,3173458
Annual,Kilogram,Fungicides and bactericides,Belgium,2015,2642594
Annual,Kilogram,Fungicides and bactericides,Belgium,2016,2908669
Annual,Kilogram,Fungicides and bactericides,Belgium,2017,2530828
Annual,Kilogram,Fungicides and bactericides,Belgium,2018,2487612
Annual,Kilogram,Fungicides and bactericides,Belgium,2019,2469631
Annual,Kilogram,Fungicides and bactericides,Belgium,2020,2226544
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2012,474395
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2013,380174
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2014,186142
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2015,619022
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2016,1048879
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2017,1287452
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2018,1798029
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2019,1578538
Annual,Kilogram,Fungicides and bactericides,Bulgaria,2020,1697663
Annual,Kilogram,Fungicides and bactericides,Switzerland,2011,932864
Annual,Kilogram,Fungicides and bactericides,Switzerland,2012,968306
Annual,Kilogram,Fungicides and bactericides,Switzerland,2013,1013293
Annual,Kilogram,Fungicides and bactericides,Switzerland,2014,1036885
Annual,Kilogram,Fungicides and bactericides,Switzerland,2015,1033836
Annual,Kilogram,Fungicides and bactericides,Switzerland,2016,996154
Annual,Kilogram,Fungicides and bactericides,Switzerland,2017,978524
Annual,Kilogram,Fungicides and bactericides,Switzerland,2018,978769
Annual,Kilogram,Fungicides and bactericides,Switzerland,2019,954300
Annual,Kilogram,Fungicides and bactericides,Switzerland,2020,979878
Annual,Kilogram,Fungicides and bactericides,Cyprus,2011,894770
Annual,Kilogram,Fungicides and bactericides,Cyprus,2012,837480
Annual,Kilogram,Fungicides and bactericides,Cyprus,2013,804761
Annual,Kilogram,Fungicides and bactericides,Cyprus,2014,772662
Annual,Kilogram,Fungicides and bactericides,Cyprus,2015,781151
Annual,Kilogram,Fungicides and bactericides,Cyprus,2016,803815
Annual,Kilogram,Fungicides and bactericides,Cyprus,2017,817955
Annual,Kilogram,Fungicides and bactericides,Cyprus,2018,823467
Annual,Kilogram,Fungicides and bactericides,Cyprus,2019,867436
Annual,Kilogram,Fungicides and bactericides,Cyprus,2020,862578
Annual,Kilogram,Fungicides and bactericides,Czechia,2011,1626666
Annual,Kilogram,Fungicides and bactericides,Czechia,2012,1410021
Annual,Kilogram,Fungicides and bactericides,Czechia,2013,1661560
Annual,Kilogram,Fungicides and bactericides,Czechia,2014,1782187
Annual,Kilogram,Fungicides and bactericides,Czechia,2015,2109337
Annual,Kilogram,Fungicides and bactericides,Czechia,2016,1785207
Annual,Kilogram,Fungicides and bactericides,Czechia,2017,1853685
Annual,Kilogram,Fungicides and bactericides,Czechia,2018,1755138
Annual,Kilogram,Fungicides and bactericides,Czechia,2019,1650880
Annual,Kilogram,Fungicides and bactericides,Czechia,2020,1544879
Annual,Kilogram,Fungicides and bactericides,Germany,2011,10472846
Annual,Kilogram,Fungicides and bactericides,Germany,2012,9062328
Annual,Kilogram,Fungicides and bactericides,Germany,2013,10506875
Annual,Kilogram,Fungicides and bactericides,Germany,2014,12919599
Annual,Kilogram,Fungicides and bactericides,Germany,2015,12817359
Annual,Kilogram,Fungicides and bactericides,Germany,2016,12140888
Annual,Kilogram,Fungicides and bactericides,Germany,2017,13266132
Annual,Kilogram,Fungicides and bactericides,Germany,2018,11681860
Annual,Kilogram,Fungicides and bactericides,Germany,2019,10217437
Annual,Kilogram,Fungicides and bactericides,Germany,2020,9504732
Annual,Kilogram,Fungicides and bactericides,Denmark,2011,632925
Annual,Kilogram,Fungicides and bactericides,Denmark,2012,890573
Annual,Kilogram,Fungicides and bactericides,Denmark,2013,883737
Annual,Kilogram,Fungicides and bactericides,Denmark,2014,416805
Annual,Kilogram,Fungicides and bactericides,Denmark,2015,504012
Annual,Kilogram,Fungicides and bactericides,Denmark,2016,406713
Annual,Kilogram,Fungicides and bactericides,Denmark,2017,483731
Annual,Kilogram,Fungicides and bactericides,Denmark,2018,438345
Annual,Kilogram,Fungicides and bactericides,Denmark,2019,436363
Annual,Kilogram,Fungicides and bactericides,Denmark,2020,502607
Annual,Kilogram,Fungicides and bactericides,Estonia,2011,49256
Annual,Kilogram,Fungicides and bactericides,Estonia,2012,58532
Annual,Kilogram,Fungicides and bactericides,Estonia,2013,64133
Annual,Kilogram,Fungicides and bactericides,Estonia,2014,85914
Annual,Kilogram,Fungicides and bactericides,Estonia,2015,109267
Annual,Kilogram,Fungicides and bactericides,Estonia,2016,104386
Annual,Kilogram,Fungicides and bactericides,Estonia,2017,117032
Annual,Kilogram,Fungicides and bactericides,Estonia,2018,106542
Annual,Kilogram,Fungicides and bactericides,Estonia,2019,104924
Annual,Kilogram,Fungicides and bactericides,Greece,2011,1699908
Annual,Kilogram,Fungicides and bactericides,Greece,2012,2095225
Annual,Kilogram,Fungicides and bactericides,Greece,2013,5513545
Annual,Kilogram,Fungicides and bactericides,Greece,2014,1868298
Annual,Kilogram,Fungicides and bactericides,Greece,2015,1928684
Annual,Kilogram,Fungicides and bactericides,Greece,2016,1803566
Annual,Kilogram,Fungicides and bactericides,Greece,2017,1685867
Annual,Kilogram,Fungicides and bactericides,Greece,2018,1728709
Annual,Kilogram,Fungicides and bactericides,Greece,2019,1755818
Annual,Kilogram,Fungicides and bactericides,Greece,2020,1801712
Annual,Kilogram,Fungicides and bactericides,Spain,2011,31330384
Annual,Kilogram,Fungicides and bactericides,Spain,2012,26777092
Annual,Kilogram,Fungicides and bactericides,Spain,2013,32380167
Annual,Kilogram,Fungicides and bactericides,Spain,2014,38297381
Annual,Kilogram,Fungicides and bactericides,Spain,2015,36321096
Annual,Kilogram,Fungicides and bactericides,Spain,2016,38905110
Annual,Kilogram,Fungicides and bactericides,Spain,2017,37982029
Annual,Kilogram,Fungicides and bactericides,Spain,2018,38067058
Annual,Kilogram,Fungicides and bactericides,Spain,2019,34073450
Annual,Kilogram,Fungicides and bactericides,Spain,2020,37915957
Annual,Kilogram,Fungicides and bactericides,Finland,2011,1473668
Annual,Kilogram,Fungicides and bactericides,Finland,2012,1789082
Annual,Kilogram,Fungicides and bactericides,Finland,2013,2008175
Annual,Kilogram,Fungicides and bactericides,Finland,2014,2080733
Annual,Kilogram,Fungicides and bactericides,Finland,2015,2492860
Annual,Kilogram,Fungicides and bactericides,Finland,2016,3212359
Annual,Kilogram,Fungicides and bactericides,Finland,2017,3227750
Annual,Kilogram,Fungicides and bactericides,Finland,2018,3814408
Annual,Kilogram,Fungicides and bactericides,Finland,2019,2831862
Annual,Kilogram,Fungicides and bactericides,Finland,2020,3698298
Annual,Kilogram,Fungicides and bactericides,France,2011,24495844
Annual,Kilogram,Fungicides and bactericides,France,2012,27580733
Annual,Kilogram,Fungicides and bactericides,France,2013,30376030
Annual,Kilogram,Fungicides and bactericides,France,2014,34441873
Annual,Kilogram,Fungicides and bactericides,France,2015,27373707
Annual,Kilogram,Fungicides and bactericides,France,2016,31971200
Annual,Kilogram,Fungicides and bactericides,France,2017,29786228
Annual,Kilogram,Fungicides and bactericides,France,2018,39064721
Annual,Kilogram,Fungicides and bactericides,France,2019,24483508
Annual,Kilogram,Fungicides and bactericides,France,2020,26030960
Annual,Kilogram,Fungicides and bactericides,Croatia,2013,945128
Annual,Kilogram,Fungicides and bactericides,Croatia,2014,1004778
Annual,Kilogram,Fungicides and bactericides,Croatia,2015,1315186
Annual,Kilogram,Fungicides and bactericides,Croatia,2016,932012
Annual,Kilogram,Fungicides and bactericides,Croatia,2017,727129
Annual,Kilogram,Fungicides and bactericides,Croatia,2018,767227
Annual,Kilogram,Fungicides and bactericides,Croatia,2019,656073
Annual,Kilogram,Fungicides and bactericides,Croatia,2020,700973
Annual,Kilogram,Fungicides and bactericides,Hungary,2012,3123495
Annual,Kilogram,Fungicides and bactericides,Hungary,2013,3181417
Annual,Kilogram,Fungicides and bactericides,Hungary,2014,3612209
Annual,Kilogram,Fungicides and bactericides,Hungary,2015,3782149
Annual,Kilogram,Fungicides and bactericides,Hungary,2016,3835024
Annual,Kilogram,Fungicides and bactericides,Hungary,2017,4170518
Annual,Kilogram,Fungicides and bactericides,Hungary,2018,3535072
Annual,Kilogram,Fungicides and bactericides,Hungary,2019,2796084
Annual,Kilogram,Fungicides and bactericides,Hungary,2020,3371876
Annual,Kilogram,Fungicides and bactericides,Ireland,2011,619971
Annual,Kilogram,Fungicides and bactericides,Ireland,2012,650158
Annual,Kilogram,Fungicides and bactericides,Ireland,2013,594101
Annual,Kilogram,Fungicides and bactericides,Ireland,2014,635509
Annual,Kilogram,Fungicides and bactericides,Ireland,2015,687731
Annual,Kilogram,Fungicides and bactericides,Ireland,2016,596570
Annual,Kilogram,Fungicides and bactericides,Ireland,2017,633474
Annual,Kilogram,Fungicides and bactericides,Ireland,2018,601996
Annual,Kilogram,Fungicides and bactericides,Ireland,2019,922282
Annual,Kilogram,Fungicides and bactericides,Ireland,2020,440434
Annual,Kilogram,Fungicides and bactericides,Iceland,2015,240
Annual,Kilogram,Fungicides and bactericides,Iceland,2016,444
Annual,Kilogram,Fungicides and bactericides,Iceland,2017,288
Annual,Kilogram,Fungicides and bactericides,Iceland,2018,278
Annual,Kilogram,Fungicides and bactericides,Iceland,2019,209
Annual,Kilogram,Fungicides and bactericides,Iceland,2020,155
Annual,Kilogram,Fungicides and bactericides,Italy,2011,43574469
Annual,Kilogram,Fungicides and bactericides,Italy,2012,37358123
Annual,Kilogram,Fungicides and bactericides,Italy,2013,33302885
Annual,Kilogram,Fungicides and bactericides,Italy,2014,37226295
Annual,Kilogram,Fungicides and bactericides,Italy,2015,39186665
Annual,Kilogram,Fungicides and bactericides,Italy,2016,36851936
Annual,Kilogram,Fungicides and bactericides,Italy,2017,32686887
Annual,Kilogram,Fungicides and bactericides,Italy,2018,31538590
Annual,Kilogram,Fungicides and bactericides,Italy,2019,24285678
Annual,Kilogram,Fungicides and bactericides,Italy,2020,31644123
Annual,Kilogram,Fungicides and bactericides,Lithuania,2011,361502
Annual,Kilogram,Fungicides and bactericides,Lithuania,2012,485437
Annual,Kilogram,Fungicides and bactericides,Lithuania,2013,534444
Annual,Kilogram,Fungicides and bactericides,Lithuania,2014,601198
Annual,Kilogram,Fungicides and bactericides,Lithuania,2015,736752
Annual,Kilogram,Fungicides and bactericides,Lithuania,2016,741166
Annual,Kilogram,Fungicides and bactericides,Lithuania,2017,690115
Annual,Kilogram,Fungicides and bactericides,Lithuania,2018,676667
Annual,Kilogram,Fungicides and bactericides,Lithuania,2019,575042
Annual,Kilogram,Fungicides and bactericides,Lithuania,2020,592648
Annual,Kilogram,Fungicides and bactericides,Luxembourg,2011,92080
Annual,Kilogram,Fungicides and bactericides,Luxembourg,2012,91039
Annual,Kilogram,Fungicides and bactericides,Latvia,2011,149021
Annual,Kilogram,Fungicides and bactericides,Latvia,2012,200949
Annual,Kilogram,Fungicides and bactericides,Latvia,2013,211322
Annual,Kilogram,Fungicides and bactericides,Latvia,2014,223753
Annual,Kilogram,Fungicides and bactericides,Latvia,2015,263648
Annual,Kilogram,Fungicides and bactericides,Latvia,2016,261967
Annual,Kilogram,Fungicides and bactericides,Latvia,2017,266538
Annual,Kilogram,Fungicides and bactericides,Latvia,2018,212650
Annual,Kilogram,Fungicides and bactericides,Latvia,2019,295355
Annual,Kilogram,Fungicides and bactericides,Latvia,2020,303793
Annual,Kilogram,Fungicides and bactericides,Montenegro,2017,66905
Annual,Kilogram,Fungicides and bactericides,Montenegro,2018,61341
Annual,Kilogram,Fungicides and bactericides,Montenegro,2019,64341
Annual,Kilogram,Fungicides and bactericides,Montenegro,2020,72334
Annual,Kilogram,Fungicides and bactericides,Malta,2011,95040
Annual,Kilogram,Fungicides and bactericides,Malta,2012,124625
Annual,Kilogram,Fungicides and bactericides,Malta,2013,122070
Annual,Kilogram,Fungicides and bactericides,Malta,2014,97370
Annual,Kilogram,Fungicides and bactericides,Malta,2015,118644
