freq,crops,pesticid,unit,geo,TIME_PERIOD,OBS_VALUE
Annual,Cereals for the production of grain (including seed),Fungicides and bactericides,Kilogram,Ireland,2012,495718.0
Annual,Cereals for the production of grain (including seed),Fungicides and bactericides,Kilogram,Romania,2013,856395.0
Annual,Cereals for the production of grain (including seed),Fungicides and bactericides,Kilogram,Sweden,2017,93394.0
Annual,Cereals for the production of grain (including seed),Fungicides and bactericides,Kilogram,Slovenia,2014,19866.0
Annual,Cereals for the production of grain (including seed),"Herbicides, haulm destructors and moss killers",Kilogram,Ireland,2012,287329.0
Annual,Cereals for the production of grain (including seed),"Herbicides, haulm destructors and moss killers",Kilogram,Romania,2013,3097036.0
Annual,Cereals for the production of grain (including seed),"Herbicides, haulm destructors and moss killers",Kilogram,Sweden,2017,346859.0
Annual,Cereals for the production of grain (including seed),Insecticides and acaricides,Kilogram,Ireland,2012,23421.0
Annual,Cereals for the production of grain (including seed),Insecticides and acaricides,Kilogram,Romania,2013,517768.0
Annual,Cereals for the production of grain (including seed),Molluscicides,Kilogram,Ireland,2012,329.0
Annual,Cereals for the production of grain (including seed),Plant growth regulators,Kilogram,Ireland,2012,182614.0
Annual,Cereals for the production of grain (including seed),Plant growth regulators,Kilogram,Romania,2013,100863.0
Annual,Cereals for the production of grain (including seed),Plant growth regulators,Kilogram,Sweden,2017,13378.0
Annual,Cereals for the production of grain (including seed),Other plant protection products,Kilogram,Romania,2013,443.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Fungicides and bactericides,Kilogram,Ireland,2012,495718.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Fungicides and bactericides,Kilogram,Poland,2015,8633.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Fungicides and bactericides,Kilogram,Romania,2013,845608.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Fungicides and bactericides,Kilogram,Sweden,2017,93394.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Fungicides and bactericides,Kilogram,Slovenia,2017,14189.0
Annual,Cereals (excluding rice) for the production of grain (including seed),"Herbicides, haulm destructors and moss killers",Kilogram,Ireland,2012,287329.0
Annual,Cereals (excluding rice) for the production of grain (including seed),"Herbicides, haulm destructors and moss killers",Kilogram,Poland,2015,329860.0
Annual,Cereals (excluding rice) for the production of grain (including seed),"Herbicides, haulm destructors and moss killers",Kilogram,Romania,2013,3080898.0
Annual,Cereals (excluding rice) for the production of grain (including seed),"Herbicides, haulm destructors and moss killers",Kilogram,Sweden,2017,346859.0
Annual,Cereals (excluding rice) for the production of grain (including seed),"Herbicides, haulm destructors and moss killers",Kilogram,Slovenia,2017,39869.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Insecticides and acaricides,Kilogram,Ireland,2012,23421.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Insecticides and acaricides,Kilogram,Poland,2015,67.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Insecticides and acaricides,Kilogram,Romania,2013,517738.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Molluscicides,Kilogram,Ireland,2012,329.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Plant growth regulators,Kilogram,Ireland,2012,182614.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Plant growth regulators,Kilogram,Poland,2015,186.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Plant growth regulators,Kilogram,Romania,2013,100863.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Plant growth regulators,Kilogram,Sweden,2017,13378.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Plant growth regulators,Kilogram,Slovenia,2017,721.0
Annual,Cereals (excluding rice) for the production of grain (including seed),Other plant protection products,Kilogram,Romania,2013,443.0
Annual,Wheat and spelt,Fungicides and bactericides,Kilogram,Belgium,2017,216824.0
Annual,Wheat and spelt,Fungicides and bactericides,Kilogram,Bulgaria,2018,527127.0
Annual,Wheat and spelt,Fungicides and bactericides,Kilogram,Ireland,2012,220116.0
Annual,Wheat and spelt,Fungicides and bactericides,Kilogram,Romania,2013,682682.0
Annual,Wheat and spelt,Fungicides and bactericides,Kilogram,Romania,2018,650523.0
Annual,Wheat and spelt,Fungicides and bactericides,Kilogram,Sweden,2017,67669.0
Annual,Wheat and spelt,Fungicides and bactericides,Kilogram,Slovenia,2014,14398.0
