freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2011,197.42
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2012,214.93
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2013,211.42
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2014,205.26
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2015,214.22
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2016,209.68
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2017,216.96
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2018,217.52
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2019,209.12
Annual,Euro,Young cattle - prices per 100 kg live weight,Austria,2020,207.44
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2011,143.99
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2012,180.73
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2013,182.09
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2014,168.85
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2015,156.8
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2016,144.6
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2017,152.0
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2018,156.68
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2019,165.71
Annual,Euro,Young cattle - prices per 100 kg live weight,Belgium,2020,173.71
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2011,115.25
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2012,105.47
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2013,128.25
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2014,112.07
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2015,130.97
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2016,114.3
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2017,116.33
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2018,125.2
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2019,149.75
Annual,Euro,Young cattle - prices per 100 kg live weight,Bulgaria,2020,151.46
Annual,Euro,Young cattle - prices per 100 kg live weight,Cyprus,2011,144.3
Annual,Euro,Young cattle - prices per 100 kg live weight,Cyprus,2012,145.7
Annual,Euro,Young cattle - prices per 100 kg live weight,Cyprus,2013,145.2
Annual,Euro,Young cattle - prices per 100 kg live weight,Cyprus,2014,145.3
Annual,Euro,Young cattle - prices per 100 kg live weight,Cyprus,2015,143.2
Annual,Euro,Young cattle - prices per 100 kg live weight,Cyprus,2016,140.73
Annual,Euro,Young cattle - prices per 100 kg live weight,Cyprus,2017,139.57
Annual,Euro,Young cattle - prices per 100 kg live weight,Cyprus,2018,140.64
