freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2011,15.72
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2012,21.1
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2013,14.84
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2014,13.48
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2015,13.72
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2016,11.55
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2017,14.46
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2018,15.41
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2019,14.63
Annual,Euro,Soft wheat - prices per 100 kg,Austria,2020,14.88
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2011,19.83
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2012,22.33
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2013,19.87
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2014,16.48
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2015,15.44
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2016,13.34
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2017,14.14
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2018,16.66
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2019,15.59
Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2020,17.45
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2011,16.71
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2012,20.67
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2013,16.12
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2014,16.06
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2015,15.59
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2016,14.06
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2017,15.47
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2018,15.4
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2019,15.21
Annual,Euro,Soft wheat - prices per 100 kg,Bulgaria,2020,16.76
Annual,Euro,Soft wheat - prices per 100 kg,Cyprus,2020,19.66
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2011,20.49
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2012,20.08
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2013,20.36
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2014,16.27
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2015,15.84
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2016,13.69
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2017,14.51
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2018,15.99
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2019,16.95
Annual,Euro,Soft wheat - prices per 100 kg,Czechia,2020,15.76
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2011,20.86
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2012,21.87
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2013,20.26
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2014,16.89
Annual,Euro,Soft wheat - prices per 100 kg,Germany,2015,16.15
